"sex" "age" "prov" "n" "E"
"459" "M" 54 "X3" 6 "1872.5"
"460" "M" 55 "X3" 5 "1874"
"461" "M" 56 "X3" 7 "1889.5"
"462" "M" 57 "X3" 7 "1940"
"463" "M" 58 "X3" 10 "2036"
"464" "M" 59 "X3" 14 "2212"
"465" "M" 60 "X3" 10 "2229"
"466" "M" 61 "X3" 12 "2120"
"467" "M" 62 "X3" 16 "2013.5"
"468" "M" 63 "X3" 24 "2032.5"
"469" "M" 64 "X3" 20 "1953.5"
"470" "M" 65 "X3" 27 "1801.5"
"471" "M" 66 "X3" 17 "1838.5"
"472" "M" 67 "X3" 28 "1835.5"
"473" "M" 68 "X3" 25 "1871.5"
"474" "M" 69 "X3" 25 "1771"
"475" "M" 70 "X3" 18 "1574"
"476" "M" 71 "X3" 23 "1538.5"
"477" "M" 72 "X3" 21 "1444"
"478" "M" 73 "X3" 26 "1293"
"479" "M" 74 "X3" 19 "1216"
"480" "M" 75 "X3" 23 "1206"
"481" "M" 76 "X3" 20 "1154"
"482" "M" 77 "X3" 22 "1071"
"483" "M" 78 "X3" 24 "1012"
"484" "M" 79 "X3" 34 "737.5"
"485" "M" 80 "X3" 11 "425.5"
"486" "M" 81 "X3" 13 "348"
"487" "M" 82 "X3" 13 "379"
"488" "M" 83 "X3" 18 "495.5"
"489" "M" 84 "X3" 18 "553.5"
"490" "M" 85 "X3" 15 "480"
"491" "M" 86 "X3" 14 "415"
"492" "M" 87 "X3" 10 "341"
"493" "M" 88 "X3" 8 "281"
"494" "M" 89 "X3" 13 "226.5"
"495" "M" 90 "X3" 9 "170.5"
"496" "M" 91 "X3" 5 "115.5"
"497" "M" 92 "X3" 1 "86"
"498" "M" 93 "X3" 4 "69.5"
"499" "M" 94 "X3" 0 "42"
"500" "M" 95 "X3" 1 "28"
"501" "M" 96 "X3" 2 "16"
"502" "M" 97 "X3" 1 "11.5"
"503" "M" 98 "X3" 1 "11"
"504" "M" 99 "X3" 0 "6"
"505" "M" 100 "X3" 0 "8"
"607" "M" 0 "X4" 0 "2551.5"
"608" "M" 1 "X4" 0 "2530.5"
"609" "M" 2 "X4" 0 "2508"
"610" "M" 3 "X4" 0 "2518.5"
"611" "M" 4 "X4" 0 "2440.5"
"612" "M" 5 "X4" 0 "2388"
"613" "M" 6 "X4" 0 "2481"
"614" "M" 7 "X4" 0 "2479.5"
"615" "M" 8 "X4" 0 "2469"
"616" "M" 9 "X4" 0 "2487"
"617" "M" 10 "X4" 0 "2511"
"618" "M" 11 "X4" 0 "2420"
"619" "M" 12 "X4" 0 "2360"
"620" "M" 13 "X4" 0 "2473.5"
"621" "M" 14 "X4" 0 "2509.5"
"622" "M" 15 "X4" 0 "2574.5"
"623" "M" 16 "X4" 0 "2711"
"624" "M" 17 "X4" 0 "2748"
"625" "M" 18 "X4" 0 "2792"
"626" "M" 19 "X4" 1 "2807.5"
"627" "M" 20 "X4" 1 "2909"
"628" "M" 21 "X4" 0 "3078"
"629" "M" 22 "X4" 0 "3253.5"
"630" "M" 23 "X4" 0 "3521.5"
"631" "M" 24 "X4" 0 "3731"
"632" "M" 25 "X4" 0 "3914.5"
"633" "M" 26 "X4" 0 "4023.5"
"634" "M" 27 "X4" 0 "4101.5"
"635" "M" 28 "X4" 0 "4090.5"
"636" "M" 29 "X4" 0 "4189.5"
"637" "M" 30 "X4" 1 "4378"
"638" "M" 31 "X4" 1 "4357.5"
"639" "M" 32 "X4" 1 "4428.5"
"640" "M" 33 "X4" 0 "4565"
"641" "M" 34 "X4" 0 "4622"
"642" "M" 35 "X4" 1 "4510.5"
"643" "M" 36 "X4" 3 "4320.5"
"644" "M" 37 "X4" 1 "4200"
"645" "M" 38 "X4" 0 "4106.5"
"646" "M" 39 "X4" 0 "4071.5"
"647" "M" 40 "X4" 2 "4014"
"648" "M" 41 "X4" 2 "3967"
"649" "M" 42 "X4" 3 "3875"
"650" "M" 43 "X4" 1 "3794.5"
"651" "M" 44 "X4" 1 "3777"
"652" "M" 45 "X4" 2 "3710"
"653" "M" 46 "X4" 7 "3793.5"
"654" "M" 47 "X4" 2 "3787"
"655" "M" 48 "X4" 4 "3798"
"656" "M" 49 "X4" 7 "3932.5"
"657" "M" 50 "X4" 5 "4031"
"658" "M" 51 "X4" 4 "4013"
"659" "M" 52 "X4" 6 "3836"
"660" "M" 53 "X4" 8 "3343"
"661" "M" 54 "X4" 15 "3157"
"662" "M" 55 "X4" 4 "3321"
"663" "M" 56 "X4" 2 "3390.5"
"664" "M" 57 "X4" 10 "3460.5"
"665" "M" 58 "X4" 13 "3619"
"666" "M" 59 "X4" 13 "3734.5"
"667" "M" 60 "X4" 11 "3754.5"
"668" "M" 61 "X4" 19 "3663.5"
"669" "M" 62 "X4" 12 "3406"
"670" "M" 63 "X4" 29 "3322"
"671" "M" 64 "X4" 25 "3371.5"
"672" "M" 65 "X4" 28 "3232.5"
"673" "M" 66 "X4" 20 "3206"
"674" "M" 67 "X4" 28 "3224.5"
"675" "M" 68 "X4" 33 "3279.5"
"676" "M" 69 "X4" 24 "3185"
"677" "M" 70 "X4" 37 "3003"
"678" "M" 71 "X4" 29 "2920"
"679" "M" 72 "X4" 40 "2713.5"
"680" "M" 73 "X4" 50 "2570"
"681" "M" 74 "X4" 38 "2530"
"682" "M" 75 "X4" 38 "2375"
"683" "M" 76 "X4" 40 "2152.5"
"684" "M" 77 "X4" 40 "1898"
"685" "M" 78 "X4" 30 "1673"
"686" "M" 79 "X4" 28 "1345.5"
"687" "M" 80 "X4" 19 "929"
"688" "M" 81 "X4" 21 "774.5"
"689" "M" 82 "X4" 15 "847"
"690" "M" 83 "X4" 28 "1008"
"691" "M" 84 "X4" 36 "1013.5"
"692" "M" 85 "X4" 33 "922.5"
"693" "M" 86 "X4" 25 "860"
"694" "M" 87 "X4" 28 "710"
"695" "M" 88 "X4" 23 "550.5"
"696" "M" 89 "X4" 19 "446.5"
"697" "M" 90 "X4" 11 "324.5"
"698" "M" 91 "X4" 12 "235"
"699" "M" 92 "X4" 9 "178.5"
"700" "M" 93 "X4" 3 "140.5"
"701" "M" 94 "X4" 2 "72.5"
"702" "M" 95 "X4" 2 "52"
"703" "M" 96 "X4" 0 "36.5"
"704" "M" 97 "X4" 1 "22.5"
"705" "M" 98 "X4" 0 "13.5"
"706" "M" 99 "X4" 0 "7"
"707" "M" 100 "X4" 0 "7"
"809" "M" 0 "X5" 0 "859.5"
"810" "M" 1 "X5" 0 "839"
"811" "M" 2 "X5" 0 "815"
"812" "M" 3 "X5" 0 "816.5"
"813" "M" 4 "X5" 0 "803.5"
"814" "M" 5 "X5" 0 "825"
"815" "M" 6 "X5" 0 "837.5"
"816" "M" 7 "X5" 0 "799"
"817" "M" 8 "X5" 1 "794"
"818" "M" 9 "X5" 0 "807"
"819" "M" 10 "X5" 0 "833"
"820" "M" 11 "X5" 0 "808.5"
"821" "M" 12 "X5" 0 "764"
"822" "M" 13 "X5" 0 "791.5"
"823" "M" 14 "X5" 0 "817"
"824" "M" 15 "X5" 0 "835"
"825" "M" 16 "X5" 0 "830.5"
"826" "M" 17 "X5" 0 "858"
"827" "M" 18 "X5" 1 "892"
"828" "M" 19 "X5" 0 "964"
"829" "M" 20 "X5" 0 "1033.5"
"830" "M" 21 "X5" 0 "1091.5"
"831" "M" 22 "X5" 0 "1154"
"832" "M" 23 "X5" 0 "1242.5"
"833" "M" 24 "X5" 0 "1355"
"834" "M" 25 "X5" 0 "1402"
"835" "M" 26 "X5" 0 "1436"
"836" "M" 27 "X5" 0 "1485"
"837" "M" 28 "X5" 0 "1510.5"
"838" "M" 29 "X5" 0 "1577"
"839" "M" 30 "X5" 0 "1579"
"840" "M" 31 "X5" 0 "1562"
"841" "M" 32 "X5" 0 "1590"
"842" "M" 33 "X5" 1 "1632"
"843" "M" 34 "X5" 0 "1651.5"
"844" "M" 35 "X5" 0 "1631"
"845" "M" 36 "X5" 0 "1557"
"846" "M" 37 "X5" 1 "1555.5"
"847" "M" 38 "X5" 0 "1532"
"848" "M" 39 "X5" 2 "1504.5"
"849" "M" 40 "X5" 0 "1510"
"850" "M" 41 "X5" 1 "1457.5"
"851" "M" 42 "X5" 0 "1450"
"852" "M" 43 "X5" 1 "1416"
"853" "M" 44 "X5" 1 "1374.5"
"854" "M" 45 "X5" 0 "1372"
"855" "M" 46 "X5" 0 "1386.5"
"856" "M" 47 "X5" 1 "1387.5"
"857" "M" 48 "X5" 2 "1426.5"
"858" "M" 49 "X5" 2 "1475.5"
"859" "M" 50 "X5" 0 "1532"
"860" "M" 51 "X5" 0 "1593"
"861" "M" 52 "X5" 1 "1515.5"
"862" "M" 53 "X5" 2 "1285"
"863" "M" 54 "X5" 2 "1134.5"
"864" "M" 55 "X5" 2 "1183"
"865" "M" 56 "X5" 2 "1219"
